V (EAS), 
  70.936091,    0.000000
  70.936091,    1.000000
  75.516504,    1.133311
  80.096917,    1.274961
  84.677330,    1.424950
  89.257743,    1.583278
  93.838156,    1.749945
  98.418569,    1.924950
 102.998982,    2.108295
 107.579395,    2.299978
 112.159808,    2.500000
 134.318422,    2.500000
 167.898027,    2.500000
 167.898027,    0.000000
 134.318422,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,   -1.000000
  90.007809,    0.000000
