CL, CM
   0.094584,    0.082453
   0.120006,    0.076243
   0.145226,    0.072970
   0.170319,    0.071678
   0.195405,    0.067822
   0.220486,    0.061699
   0.245559,    0.055682
   0.270629,    0.049847
   0.295689,    0.044494
   0.320747,    0.039316
   0.345795,    0.034451
   0.370840,    0.029745
   0.395877,    0.025092
   0.420910,    0.020524
   0.445934,    0.016181
   0.470956,    0.011897
   0.495968,    0.007811
   0.520978,    0.003653
   0.545979,   -0.000247
   0.570977,   -0.004168
   0.595965,   -0.007845
   0.620952,   -0.011432
   0.645929,   -0.015015
   0.670904,   -0.018374
   0.695869,   -0.021600
   0.720834,   -0.024797
   0.745787,   -0.028155
   0.770740,   -0.031480
   0.795682,   -0.034735
   0.820624,   -0.038104
   0.845555,   -0.041665
   0.870486,   -0.045413
   0.895406,   -0.049227
   0.920326,   -0.053149
   0.945235,   -0.057123
   0.970144,   -0.061066
   0.995043,   -0.064998
   1.019941,   -0.068655
   1.044830,   -0.072201
   1.069921,   -0.076452
