CL, CM
  -0.053677,    0.630915
  -0.028255,    0.624459
  -0.003035,    0.620965
   0.022058,    0.619466
   0.047143,    0.615406
   0.072225,    0.609082
   0.097298,    0.602867
   0.122367,    0.596836
   0.147428,    0.591290
   0.172485,    0.585922
   0.197534,    0.580869
   0.222579,    0.575978
   0.247615,    0.571143
   0.272649,    0.566395
   0.297673,    0.561875
   0.322695,    0.557416
   0.347707,    0.553158
   0.372717,    0.548830
   0.397717,    0.544764
   0.422716,    0.540678
   0.447704,    0.536839
   0.472691,    0.533093
   0.497667,    0.529353
   0.522643,    0.525839
   0.547608,    0.522461
   0.572572,    0.519114
   0.597526,    0.515608
   0.622479,    0.512138
   0.647421,    0.508740
   0.672363,    0.505231
   0.697294,    0.501531
   0.722224,    0.497647
   0.747145,    0.493700
   0.772064,    0.489646
   0.796974,    0.485544
   0.821882,    0.481473
   0.846782,    0.477417
   0.871680,    0.473637
   0.896569,    0.469971
   0.921660,    0.465588
