CL, CM
  -0.045458,    0.604909
  -0.020037,    0.598480
   0.005183,    0.595011
   0.030277,    0.593536
   0.055362,    0.589499
   0.080443,    0.583199
   0.105517,    0.577006
   0.130586,    0.570998
   0.155647,    0.565475
   0.180704,    0.560129
   0.205752,    0.555099
   0.230798,    0.550230
   0.255834,    0.545417
   0.280868,    0.540691
   0.305892,    0.536192
   0.330913,    0.531755
   0.355926,    0.527518
   0.380936,    0.523211
   0.405936,    0.519166
   0.430934,    0.515100
   0.455923,    0.511282
   0.480910,    0.507557
   0.505886,    0.503837
   0.530862,    0.500343
   0.555827,    0.496985
   0.580791,    0.493657
   0.605744,    0.490171
   0.630697,    0.486721
   0.655640,    0.483342
   0.680581,    0.479852
   0.705512,    0.476171
   0.730443,    0.472307
   0.755363,    0.468378
   0.780283,    0.464343
   0.805193,    0.460258
   0.830101,    0.456206
   0.855001,    0.452168
   0.879898,    0.448406
   0.904787,    0.444758
   0.929878,    0.440394
