Speed (CAS), Rate of Climb
 160.527851, -415.645397
 161.207053, -406.478998
 161.886256, -397.164948
 162.565458, -387.877384
 163.244660, -379.072666
 163.923863, -370.226799
 164.603065, -361.524679
 165.282267, -353.220983
 165.961470, -344.786540
 166.640672, -336.498907
 167.319874, -328.608948
 167.999077, -320.596236
 168.678279, -312.709741
 169.357481, -305.348108
 170.036684, -297.872440
 170.715886, -290.299115
 171.395089, -283.398261
 172.074291, -276.391342
 172.753493, -269.277856
 173.432696, -262.564360
 174.111898, -255.948287
 174.791100, -249.232859
 175.470303, -242.560358
 176.149505, -236.450663
 176.828707, -230.249559
 177.507910, -223.956618
 178.187112, -218.001113
 178.866314, -212.092091
 179.545517, -206.097344
 180.224719, -200.016478
 180.903922, -194.446731
 181.583124, -189.003235
 182.262326, -183.481535
 182.941529, -177.881273
 183.620731, -172.517485
 184.299933, -167.142559
 184.979136, -161.693812
 185.658338, -156.170919
 186.337540, -151.078044
 187.016743, -146.215314
 187.695945, -141.286278
 188.375147, -135.972741
 189.054350, -130.412388
 189.733552, -125.360301
 190.412755, -120.244211
 191.091957, -115.063857
 191.771159, -109.818977
 192.450362, -105.087824
 193.129564, -100.413741
 193.808766,  -95.083079
 194.487969,  -89.690443
 195.167171,  -84.235603
 195.846373,  -79.463718
 196.525576,  -74.695236
 197.204778,  -69.872254
 197.883980,  -64.994570
 198.563183,  -59.816236
 199.242385,  -55.252183
 199.921588,  -50.733102
 200.600790,  -46.164824
 201.279992,  -41.547173
 201.959195,  -36.879976
 202.638397,  -32.613283
 203.317599,  -28.676363
 203.996802,  -24.713414
 204.676004,  -20.708594
 205.355206,  -16.661755
 206.034409,  -12.572748
 206.713611,   -9.195915
 207.392814,   -5.833055
 208.072016,   -2.433560
 208.751218,    1.005503
 209.430421,    4.479507
 210.109623,    7.988576
 210.788825,   10.740627
 211.468028,   13.509120
 212.147230,   16.305238
 212.826432,   19.129979
 213.505635,   22.116128
 214.184837,   25.131048
 214.864039,   27.638912
 215.543242,   29.903254
 216.222444,   32.189020
 216.901647,   34.496281
 217.580849,   36.825111
 218.260051,   39.226793
 218.939254,   41.670510
 219.618456,   43.376261
 220.297658,   45.054204
 220.976861,   46.747037
 221.656063,   48.454809
 222.335265,   50.177569
 223.014468,   51.907804
 223.693670,   53.643135
 224.372872,   54.770382
 225.052075,   55.726997
 225.731277,   56.691424
 226.410480,   57.663692
 227.089682,   58.643827
 227.768884,   59.643482
