alpha, CL
  -3.872969,   -1.018886
  -3.543003,   -0.993667
  -3.254196,   -0.971593
  -2.966481,   -0.949603
  -2.679939,   -0.927703
  -2.394426,   -0.905882
  -2.109924,   -0.884137
  -1.826415,   -0.862469
  -1.543885,   -0.840875
  -1.262440,   -0.819364
  -0.981930,   -0.797925
  -0.702338,   -0.776556
  -0.423646,   -0.755256
  -0.145837,   -0.734023
   0.131001,   -0.712864
   0.406982,   -0.691771
   0.682137,   -0.670741
   0.956482,   -0.649773
   1.230035,   -0.628866
   1.502730,   -0.608024
   1.776309,   -0.587114
   2.059117,   -0.565499
   2.349263,   -0.543324
   2.640489,   -0.521065
   2.933181,   -0.498695
   3.280971,   -0.472114
