alpha, CL
  -3.872969,   -0.764304
  -3.543003,   -0.739085
  -3.254196,   -0.717012
  -2.966481,   -0.695022
  -2.679939,   -0.673121
  -2.394426,   -0.651300
  -2.109924,   -0.629555
  -1.826415,   -0.607887
  -1.543885,   -0.586293
  -1.262440,   -0.564783
  -0.981930,   -0.543343
  -0.702338,   -0.521974
  -0.423646,   -0.500674
  -0.145837,   -0.479441
   0.131001,   -0.458283
   0.406982,   -0.437189
   0.682137,   -0.416160
   0.956482,   -0.395191
   1.230035,   -0.374284
   1.502730,   -0.353442
   1.776309,   -0.332532
   2.059117,   -0.310918
   2.349263,   -0.288742
   2.640489,   -0.266484
   2.933181,   -0.244113
   3.280971,   -0.217532
