alpha, CL
  -3.872969,   -0.978814
  -3.543003,   -0.953595
  -3.254196,   -0.931522
  -2.966481,   -0.909532
  -2.679939,   -0.887631
  -2.394426,   -0.865810
  -2.109924,   -0.844065
  -1.826415,   -0.822397
  -1.543885,   -0.800803
  -1.262440,   -0.779293
  -0.981930,   -0.757853
  -0.702338,   -0.736484
  -0.423646,   -0.715184
  -0.145837,   -0.693951
   0.131001,   -0.672793
   0.406982,   -0.651699
   0.682137,   -0.630670
   0.956482,   -0.609701
   1.230035,   -0.588794
   1.502730,   -0.567952
   1.776309,   -0.547042
   2.059117,   -0.525428
   2.349263,   -0.503252
   2.640489,   -0.480994
   2.933181,   -0.458623
   3.280971,   -0.432042
