alpha, CL
  -3.872969,   -1.163461
  -3.543003,   -1.138242
  -3.254196,   -1.116169
  -2.966481,   -1.094179
  -2.679939,   -1.072279
  -2.394426,   -1.050457
  -2.109924,   -1.028713
  -1.826415,   -1.007044
  -1.543885,   -0.985450
  -1.262440,   -0.963940
  -0.981930,   -0.942501
  -0.702338,   -0.921131
  -0.423646,   -0.899831
  -0.145837,   -0.878598
   0.131001,   -0.857440
   0.406982,   -0.836347
   0.682137,   -0.815317
   0.956482,   -0.794349
   1.230035,   -0.773441
   1.502730,   -0.752599
   1.776309,   -0.731690
   2.059117,   -0.710075
   2.349263,   -0.687899
   2.640489,   -0.665641
   2.933181,   -0.643270
   3.280971,   -0.616689
