alpha, CL
  -3.872969,   -0.951855
  -3.543003,   -0.926636
  -3.254196,   -0.904563
  -2.966481,   -0.882573
  -2.679939,   -0.860673
  -2.394426,   -0.838851
  -2.109924,   -0.817107
  -1.826415,   -0.795438
  -1.543885,   -0.773844
  -1.262440,   -0.752334
  -0.981930,   -0.730895
  -0.702338,   -0.709525
  -0.423646,   -0.688225
  -0.145837,   -0.666992
   0.131001,   -0.645834
   0.406982,   -0.624741
   0.682137,   -0.603711
   0.956482,   -0.582743
   1.230035,   -0.561835
   1.502730,   -0.540993
   1.776309,   -0.520084
   2.059117,   -0.498469
   2.349263,   -0.476293
   2.640489,   -0.454035
   2.933181,   -0.431665
   3.280971,   -0.405083
