alpha, CL
  -3.872969,   -0.533919
  -3.543003,   -0.508700
  -3.254196,   -0.486626
  -2.966481,   -0.464636
  -2.679939,   -0.442736
  -2.394426,   -0.420915
  -2.109924,   -0.399170
  -1.826415,   -0.377502
  -1.543885,   -0.355908
  -1.262440,   -0.334397
  -0.981930,   -0.312958
  -0.702338,   -0.291589
  -0.423646,   -0.270289
  -0.145837,   -0.249056
   0.131001,   -0.227897
   0.406982,   -0.206804
   0.682137,   -0.185774
   0.956482,   -0.164806
   1.230035,   -0.143899
   1.502730,   -0.123057
   1.776309,   -0.102147
   2.059117,   -0.080532
   2.349263,   -0.058357
   2.640489,   -0.036098
   2.933181,   -0.013728
   3.280971,    0.012853
