alpha, CL
  -3.872969,   -0.058099
  -3.543003,   -0.032880
  -3.254196,   -0.010807
  -2.966481,    0.011183
  -2.679939,    0.033083
  -2.394426,    0.054905
  -2.109924,    0.076649
  -1.826415,    0.098318
  -1.543885,    0.119911
  -1.262440,    0.141422
  -0.981930,    0.162861
  -0.702338,    0.184230
  -0.423646,    0.205531
  -0.145837,    0.226764
   0.131001,    0.247922
   0.406982,    0.269015
   0.682137,    0.290045
   0.956482,    0.311013
   1.230035,    0.331921
   1.502730,    0.352763
   1.776309,    0.373672
   2.059117,    0.395287
   2.349263,    0.417463
   2.640489,    0.439721
   2.933181,    0.462091
   3.280971,    0.488673
