V/VsTO, Thrust - Yawing Moment
   1.009731, 200927.954509
   1.013072, 202259.738254
   1.016413, 203595.921073
   1.019753, 204936.502967
   1.023094, 206281.483935
   1.026435, 207630.863979
   1.029776, 208984.643097
   1.033117, 210342.821289
   1.036457, 211705.398557
   1.039798, 213072.374899
   1.043139, 214443.750315
   1.046480, 215819.524807
   1.049821, 217199.698373
   1.053161, 218584.271014
   1.056502, 219973.242729
   1.059843, 221366.613520
   1.063184, 222764.383385
   1.066525, 224166.552324
   1.069866, 225573.120339
   1.073206, 226984.087428
   1.076547, 228399.453592
   1.079888, 229819.218830
   1.083229, 231243.383143
   1.086570, 232671.946531
   1.089910, 234104.908994
   1.093251, 235542.270531
   1.096592, 236984.031143
   1.099933, 238430.190830
   1.103274, 239880.749591
   1.106614, 241335.707427
   1.109955, 242795.064338
   1.113296, 244258.820324
   1.116637, 245726.975384
   1.119978, 247199.529519
   1.123318, 248676.482728
   1.126659, 250157.835013
   1.130000, 251643.586372
