alpha_b, CM
  -4.000000,   -0.131100
  -3.794872,   -0.125746
  -3.589744,   -0.120392
  -3.384615,   -0.115038
  -3.179487,   -0.109685
  -2.974359,   -0.104331
  -2.769231,   -0.098977
  -2.564103,   -0.093623
  -2.358974,   -0.088269
  -2.153846,   -0.082915
  -1.948718,   -0.077562
  -1.743590,   -0.072208
  -1.538462,   -0.066854
  -1.333333,   -0.061500
  -1.128205,   -0.056146
  -0.923077,   -0.050792
  -0.717949,   -0.045438
  -0.512821,   -0.040085
  -0.307692,   -0.034731
  -0.102564,   -0.029377
   0.102564,   -0.024023
   0.307692,   -0.018669
   0.512821,   -0.013315
   0.717949,   -0.007962
   0.923077,   -0.002608
   1.128205,    0.002746
   1.333333,    0.008100
   1.538462,    0.013454
   1.743590,    0.018808
   1.948718,    0.024162
   2.153846,    0.029515
   2.358974,    0.034869
   2.564103,    0.040223
   2.769231,    0.045577
   2.974359,    0.050931
   3.179487,    0.056285
   3.384615,    0.061638
   3.589744,    0.066992
   3.794872,    0.072346
   4.000000,    0.077700
