eta, M
   0.000000, 1571.306834
   0.020408, 1495.347725
   0.040816, 1424.759432
   0.061224, 1353.715061
   0.081633, 1282.288947
   0.102041, 1210.561224
   0.122449, 1138.614904
   0.142857, 1066.534470
   0.163265,  994.405041
   0.183673,  922.311850
   0.204082,  850.339918
   0.224490,  778.573895
   0.244898,  707.098014
   0.265306,  635.996147
   0.285714,  565.351949
   0.306122,  495.249067
   0.326531,  425.771420
   0.346939,  357.003536
   0.367347,  289.030946
   0.387755,  221.940643
   0.408163,  155.821598
   0.428571,   90.765355
   0.448980,   26.866702
   0.469388,  -35.775561
   0.489796,  -97.057738
   0.510204, -156.869170
   0.530612, -215.091630
   0.551020, -271.600124
   0.571429, -326.258835
   0.591837, -378.919760
   0.612245, -429.420352
   0.632653, -477.580655
   0.653061, -523.199806
   0.673469, -566.051699
   0.693878, -605.879561
   0.714286, -642.389075
   0.734694, -675.239508
   0.755102, -704.032093
   0.775510, -728.294477
   0.795918, -747.459421
   0.816327, -760.834766
   0.836735, -767.559592
   0.857143, -766.537444
   0.877551, -756.329029
   0.897959, -734.967554
   0.918367, -699.610799
   0.938776, -645.797729
   0.959184, -565.528803
   0.979592, -440.353961
   1.000000,    0.000000
