V (EAS), 
 143.739301,    0.000000
 143.739301,    1.000000
 153.020689,    1.133311
 162.302076,    1.274961
 171.583464,    1.424950
 180.864852,    1.583278
 190.146239,    1.749945
 199.427627,    1.924950
 208.709015,    2.108295
 217.990402,    2.299978
 227.271790,    2.500000
 447.383948,    2.500000
 559.229935,    2.500000
 559.229935,    0.000000
 447.383948,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,   -1.000000
 181.817432,    0.000000
