alpha, CL
  -4.000000,    0.014876
  -3.517241,    0.067059
  -3.034483,    0.119243
  -2.551724,    0.171427
  -2.068966,    0.223611
  -1.586207,    0.275794
  -1.103448,    0.327978
  -0.620690,    0.380162
  -0.137931,    0.432345
   0.344828,    0.484529
   0.827586,    0.536713
   1.310345,    0.588896
   1.793103,    0.641080
   2.275862,    0.693264
   2.758621,    0.745448
   3.241379,    0.797631
   3.724138,    0.849815
   4.206897,    0.901999
   4.689655,    0.954182
   5.172414,    1.006366
   5.655172,    1.058550
   6.137931,    1.110733
   6.620690,    1.162917
   7.103448,    1.215101
   7.586207,    1.267285
   8.068966,    1.319468
   8.551724,    1.371652
   9.034483,    1.423836
   9.517241,    1.476019
  10.000000,    1.527852
