eta, Cd
   0.000000,    0.032238
   0.020408,    0.032759
   0.040816,    0.032966
   0.061224,    0.033121
   0.081633,    0.033251
   0.102041,    0.033365
   0.122449,    0.033470
   0.142857,    0.033567
   0.163265,    0.033657
   0.183673,    0.033750
   0.204082,    0.033844
   0.224490,    0.033934
   0.244898,    0.034021
   0.265306,    0.034106
   0.285714,    0.034183
   0.306122,    0.034301
   0.326531,    0.034545
   0.346939,    0.034789
   0.367347,    0.035029
   0.387755,    0.035265
   0.408163,    0.035496
   0.428571,    0.035721
   0.448980,    0.035939
   0.469388,    0.036151
   0.489796,    0.036355
   0.510204,    0.036550
   0.530612,    0.036735
   0.551020,    0.036909
   0.571429,    0.037070
   0.591837,    0.037219
   0.612245,    0.037351
   0.632653,    0.037466
   0.653061,    0.037561
   0.673469,    0.037633
   0.693878,    0.037677
   0.714286,    0.037690
   0.734694,    0.037676
   0.755102,    0.037634
   0.775510,    0.037543
   0.795918,    0.037391
   0.816327,    0.037163
   0.836735,    0.036840
   0.857143,    0.036437
   0.877551,    0.035931
   0.897959,    0.035249
   0.918367,    0.034483
   0.938776,    0.033661
   0.959184,    0.033539
   0.979592,    0.042743
   1.000000,   -0.050515
