alpha body, CL_e
  -4.000000,   -0.127282
  -3.517241,   -0.066638
  -3.034483,   -0.005938
  -2.551724,    0.054821
  -2.068966,    0.115635
  -1.586207,    0.176506
  -1.103448,    0.237433
  -0.620690,    0.298417
  -0.137931,    0.359458
   0.344828,    0.420668
   0.827586,    0.481813
   1.310345,    0.543013
   1.793103,    0.604270
   2.275862,    0.665583
   2.758621,    0.726952
   3.241379,    0.788378
   3.724138,    0.849860
   4.206897,    0.911399
   4.689655,    0.972995
   5.172414,    1.034648
   5.655172,    1.096358
   6.137931,    1.158125
   6.620690,    1.219948
   7.103448,    1.281829
   7.586207,    1.343767
   8.068966,    1.398402
