alpha body, CL_e
  -4.000000,   -0.117261
  -3.517241,   -0.061361
  -3.034483,   -0.005411
  -2.551724,    0.050590
  -2.068966,    0.106640
  -1.586207,    0.162742
  -1.103448,    0.218895
  -0.620690,    0.275099
  -0.137931,    0.331355
   0.344828,    0.387767
   0.827586,    0.444120
   1.310345,    0.500525
   1.793103,    0.556982
   2.275862,    0.613493
   2.758621,    0.670058
   3.241379,    0.726676
   3.724138,    0.783350
   4.206897,    0.840078
   4.689655,    0.896862
   5.172414,    0.953702
   5.655172,    1.010598
   6.137931,    1.067550
   6.620690,    1.124559
   7.103448,    1.181626
   7.586207,    1.238750
   8.068966,    1.289143
