CL_e, delta_e_eq
  -0.051052,    1.370385
   0.045437,    1.627169
   0.141775,    1.862085
   0.237953,    2.073328
   0.333961,    2.259608
   0.429802,    2.421320
   0.525491,    2.560501
   0.621012,    2.675089
   0.716359,    2.776478
   0.811906,    2.882320
   0.906967,    2.929062
   1.001856,    2.962863
   1.096570,    2.983679
   1.191103,    2.990370
   1.285453,    2.982019
   1.379615,    2.957975
   1.473596,    2.918965
   1.567399,    2.865574
   1.661017,    2.796032
   1.754443,    2.709052
   1.847670,    2.604904
   1.939182,    2.472116
   2.024731,    2.280288
   2.100614,    2.004808
   2.164117,    1.624302
   2.213512,    1.110598
   2.248062,    0.440150
   2.267999,   -0.399922
   2.274511,   -1.497287
   2.269736,   -2.966023
   2.256777,   -4.620291
   2.239679,   -6.442932
   2.223294,   -8.219585
   2.213056,  -10.006434
