CL_e, delta_e_eq
  -0.050971,    1.399212
   0.055052,    1.662864
   0.160881,    1.898342
   0.266525,    2.106403
   0.371966,    2.284553
   0.477203,    2.432707
   0.582238,    2.551188
   0.687079,    2.657316
   0.792076,    2.753832
   0.896568,    2.792246
   1.000847,    2.814193
   1.104909,    2.819801
   1.208748,    2.807109
   1.312366,    2.776768
   1.415771,    2.729445
   1.518959,    2.664143
   1.621919,    2.579310
   1.724655,    2.474690
   1.827162,    2.349558
   1.928240,    2.194280
   2.022634,    1.971266
   2.105365,    1.648816
   2.172901,    1.199734
   2.223141,    0.587388
   2.255415,   -0.219863
   2.270470,   -1.232482
   2.270464,   -2.703614
   2.258949,   -4.445676
   2.240870,   -6.410677
   2.222446,   -8.400760
   2.210754,  -10.370371
