CL_e, delta_e_eq
  -0.049584,    1.603412
   0.053951,    1.500904
   0.157294,    1.370154
   0.260454,    1.212407
   0.363414,    1.025343
   0.466176,    0.809069
   0.568743,    0.564077
   0.671122,    0.307803
   0.773658,    0.041909
   0.875704,   -0.279632
   0.977547,   -0.616081
   1.079187,   -0.967170
   1.180614,   -1.334673
   1.281834,   -1.717887
   1.382856,   -2.116408
   1.483675,   -2.530730
   1.584282,   -2.962223
   1.684682,   -3.411050
   1.784871,   -3.877784
   1.883675,   -4.367915
   1.975962,   -4.901330
   2.056865,   -5.497845
   2.122927,   -6.170801
   2.172090,   -6.949528
   2.203695,   -7.864557
   2.218467,   -8.970418
   2.218506,  -10.549989
   2.207283,  -12.541349
   2.189626,  -15.117093
   2.171622,  -25.000000
