CL_e, delta_e_eq
  -0.047924,    1.847845
   0.051076,    1.077691
   0.149918,    0.284545
   0.248611,   -0.530509
   0.347144,   -1.369235
   0.445517,   -2.231940
   0.543736,   -3.117754
   0.641808,   -4.008948
   0.740065,   -4.905570
   0.837890,   -5.857235
   0.935559,   -6.817903
   1.033071,   -7.786248
   1.130423,   -8.793056
   1.227618,   -9.846111
   1.324664,  -10.907366
   1.421558,  -12.047110
   1.518297,  -13.369095
   1.614882,  -14.703281
   1.711313,  -19.570777
   1.806464,  -25.000000
