CL_e, delta_e_eq
  -0.049595,    1.584842
   0.044541,    1.495335
   0.138527,    1.383852
   0.232354,    1.248906
   0.326014,    1.089401
   0.419511,    0.905891
   0.512859,    0.700538
   0.606046,    0.471402
   0.699064,    0.230005
   0.792282,   -0.007234
   0.885028,   -0.301228
   0.977610,   -0.606878
   1.070027,   -0.924129
   1.162274,   -1.253980
   1.254348,   -1.597229
   1.346246,   -1.954719
   1.437976,   -2.325441
   1.529540,   -2.708688
   1.620933,   -3.106084
   1.712148,   -3.518765
   1.803180,   -3.946365
   1.892548,   -4.394968
   1.976106,   -4.880150
   2.050237,   -5.417540
   2.112290,   -6.017220
   2.160575,   -6.701376
   2.194367,   -7.491513
   2.213887,   -8.406830
   2.220291,   -9.608169
   2.215665,  -11.168640
   2.203032,  -13.175573
   2.186344,  -16.576935
   2.170349,  -25.000000
