CL_e, delta_e_eq
  -0.048665,    1.721670
   0.042520,    1.197885
   0.133582,    0.656115
   0.224514,    0.095119
   0.315310,   -0.485932
   0.405973,   -1.086480
   0.496517,   -1.704701
   0.586930,   -2.342759
   0.677207,   -2.988215
   0.767706,   -3.626179
   0.857778,   -4.314621
   0.947718,   -5.009868
   1.037528,   -5.718097
   1.127203,   -6.433725
   1.216742,   -7.157440
   1.306144,   -7.889632
   1.395413,   -8.649871
   1.484553,   -9.448201
   1.573560,  -10.255732
   1.662429,  -11.073399
   1.751155,  -11.953287
   1.838297,  -12.978175
   1.919821,  -14.014094
   1.992204,  -15.190374
   2.052858,  -21.723337
