CL_e, delta_e_eq
  -0.047474,    1.914227
   0.052278,    1.254587
   0.151839,    0.567256
   0.251221,   -0.146471
   0.350409,   -0.888662
   0.449407,   -1.658918
   0.548219,   -2.457351
   0.646855,   -3.265476
   0.745646,   -4.083259
   0.843973,   -4.953108
   0.942113,   -5.843254
   1.040067,   -6.746040
   1.137828,   -7.662541
   1.235402,   -8.609501
   1.332798,   -9.615092
   1.430014,  -10.634150
   1.527044,  -11.668119
   1.623891,  -12.951456
   1.720553,  -14.253202
   1.815901,  -16.866820
   1.904984,  -24.361171
   1.983105,  -25.000000
