CL_e, delta_e_eq
  -0.050983,    1.397492
   0.055061,    1.664217
   0.160911,    1.902771
   0.266576,    2.113903
   0.372037,    2.295120
   0.477295,    2.446335
   0.582351,    2.567870
   0.687213,    2.677042
   0.792231,    2.776603
   0.896744,    2.818043
   1.001042,    2.843001
   1.105125,    2.851608
   1.208984,    2.841899
   1.312622,    2.814525
   1.416047,    2.770151
   1.519255,    2.707781
   1.622235,    2.625860
   1.724991,    2.524131
   1.827518,    2.401869
   1.928614,    2.249405
   2.023026,    2.028999
   2.105773,    1.708794
   2.173321,    1.261490
   2.223570,    0.650476
   2.255850,   -0.155947
   2.270907,   -1.168242
   2.270900,   -2.639331
   2.259383,   -4.381843
   2.241300,   -6.346716
   2.222873,   -8.332995
   2.211179,  -10.303315
