CL_e, delta_e_eq
  -0.049640,    1.578230
   0.044547,    1.496235
   0.138585,    1.392317
   0.232463,    1.264991
   0.326176,    1.113156
   0.419725,    0.937362
   0.513126,    0.739761
   0.606366,    0.518413
   0.699437,    0.284840
   0.792708,    0.055486
   0.885508,   -0.230620
   0.978143,   -0.528362
   1.070615,   -0.837684
   1.162915,   -1.159589
   1.255043,   -1.494878
   1.346996,   -1.844275
   1.438779,   -2.207009
   1.530398,   -2.582262
   1.621845,   -2.971664
   1.713115,   -3.376349
   1.804201,   -3.795955
   1.893622,   -4.236697
   1.977231,   -4.714505
   2.051406,   -5.243726
   2.113497,   -5.837805
   2.161811,   -6.517545
   2.195624,   -7.304521
   2.215158,   -8.213211
   2.221567,   -9.405497
   2.216939,  -10.966150
   2.204301,  -12.928829
   2.187605,  -15.777212
   2.171602,  -25.000000
