CL_e, delta_e_eq
  -0.047481,    1.913136
   0.052284,    1.255462
   0.151858,    0.570094
   0.251253,   -0.141672
   0.350455,   -0.881905
   0.449466,   -1.650208
   0.548291,   -2.446680
   0.646940,   -3.252861
   0.745745,   -4.068700
   0.844085,   -4.936617
   0.942238,   -5.824670
   1.040205,   -6.725524
   1.137978,   -7.640105
   1.235566,   -8.583489
   1.332975,   -9.587052
   1.430203,  -10.604093
   1.527246,  -11.635794
   1.624105,  -12.909778
   1.720780,  -14.209110
   1.816140,  -16.715267
   1.905234,  -24.197624
   1.983365,  -25.000000
