CL_e, delta_e_eq
  -0.047525,    1.889680
   0.043215,    1.300187
   0.133808,    0.689253
   0.224244,    0.055332
   0.314518,   -0.602457
   0.404636,   -1.283333
   0.494612,   -1.985318
   0.584435,   -2.710265
   0.674100,   -3.446014
   0.763962,   -4.177883
   0.853376,   -4.963143
   0.942639,   -5.765118
   1.031752,   -6.577030
   1.120709,   -7.399345
   1.209511,   -8.232699
   1.298155,   -9.128322
   1.386649,  -10.042067
   1.474997,  -10.966309
   1.563193,  -11.955442
   1.651234,  -13.117462
   1.739114,  -14.294739
   1.825406,  -16.582357
   1.906108,  -23.626709
   1.977728,  -25.000000
