CD, CL
   0.011051,    0.000000
   0.011770,    0.054974
   0.013957,    0.109948
   0.017561,    0.164922
   0.022639,    0.219896
   0.029128,    0.274870
   0.037112,    0.329843
   0.046513,    0.384817
   0.057379,    0.439728
   0.069583,    0.494288
   0.083063,    0.548164
   0.097644,    0.601029
   0.113191,    0.652565
   0.129496,    0.702461
   0.146355,    0.750412
   0.163535,    0.796120
   0.180770,    0.839295
   0.197820,    0.879654
   0.214387,    0.916922
   0.230249,    0.950829
