Speed(CAS), Altitude
 170.749222,    0.000000
 170.749225,  328.083990
 170.749225,  656.167979
 170.749225,  984.251969
 170.749225, 1312.335958
 170.749225, 1640.419948
 170.749225, 1968.503937
 170.749225, 2296.587927
 170.749225, 2624.671916
 170.749225, 2952.755906
 170.749225, 3280.839895
 170.749225, 3608.923885
 170.749225, 3937.007874
 170.749225, 4265.091864
 170.749225, 4593.175853
 170.749225, 4921.259843
 170.749225, 5249.343832
 170.749225, 5577.427822
 170.749225, 5905.511811
 170.749225, 6233.595801
 170.749225, 6561.679790
 170.749225, 6889.763780
 170.749225, 7217.847769
 170.749225, 7545.931759
 170.749225, 7874.015748
 170.749225, 8202.099738
 170.749225, 8530.183727
 170.749225, 8858.267717
 170.749225, 9186.351706
 170.749225, 9514.435696
 170.749225, 9842.519685
 170.749225, 10170.603675
 170.749225, 10498.687664
 170.749225, 10826.771654
 170.749225, 11154.855643
 170.749225, 11482.939633
 170.749225, 11811.023622
 170.749225, 12139.107612
 170.749225, 12467.191601
 170.749225, 12795.275591
 170.749225, 13123.359580
 170.749225, 13451.443570
 170.749225, 13779.527559
 170.749225, 14107.611549
 170.749225, 14435.695538
 170.749225, 14763.779528
 170.749225, 15091.863517
 170.749225, 15419.947507
 170.749225, 15748.031496
 170.749225, 16076.115486
 170.749225, 16404.199475
 170.749225, 16732.283465
 170.749225, 17060.367454
 170.749225, 17388.451444
 170.749225, 17716.535433
 170.749225, 18044.619423
 170.749225, 18372.703412
 170.749225, 18700.787402
 170.749225, 19028.871391
 170.749225, 19356.955381
 170.749225, 19685.039370
 170.749225, 20013.123360
 170.749225, 20341.207349
 170.749225, 20669.291339
 170.749225, 20997.375328
 170.749225, 21325.459318
 170.749225, 21653.543307
 170.749225, 21981.627297
 170.749225, 22309.711286
 170.749225, 22637.795276
 170.749225, 22965.879265
 170.749225, 23293.963255
 170.749225, 23622.047244
 170.749225, 23950.131234
 170.749225, 24278.215223
 170.749225, 24606.299213
 170.749225, 24934.383202
 170.749225, 25262.467192
 170.749225, 25590.551181
 170.749225, 25918.635171
 170.749225, 26246.719160
 170.749225, 26574.803150
 170.749225, 26902.887139
 170.749225, 27230.971129
 170.749225, 27559.055118
 170.749225, 27887.139108
 170.749225, 28215.223097
 170.749225, 28543.307087
 170.749225, 28871.391076
 170.749225, 29199.475066
 170.749225, 29527.559055
 170.749225, 29855.643045
 170.749225, 30183.727034
 170.749225, 30511.811024
 170.749225, 30839.895013
 170.749225, 31167.979003
 170.749225, 31496.062992
 170.749225, 31824.146982
 170.749225, 32152.230971
 170.749225, 32480.314961
 170.749225, 32808.398950
 170.749225, 33136.482940
 170.749225, 33464.566929
 170.749225, 33792.650919
 170.749225, 34120.734908
 170.749225, 34448.818898
 170.749225, 34776.902887
 170.749225, 35104.986877
 170.749225, 35433.070866
 170.749225, 35761.154856
 170.749225, 36089.238845
 170.749225, 36417.322835
 170.749225, 36745.406824
 170.749225, 37073.490814
 170.749225, 37401.574803
 170.749225, 37729.658793
 170.749225, 38057.742782
 170.749225, 38385.826772
 170.749225, 38713.910761
 170.749225, 39041.994751
 170.749225, 39370.078740
 170.749225, 39698.162730
 170.749225, 40026.246719
 170.749225, 40354.330709
 170.749225, 40682.414698
 170.749225, 41010.498688
 170.749225, 41338.582677
 170.749225, 41666.666667
 170.749225, 41994.750656
 170.749225, 42322.834646
 170.749225, 42650.918635
 170.749225, 42979.002625
 170.749225, 43307.086614
 170.749225, 43635.170604
 170.749225, 43963.254593
 170.749225, 44291.338583
 170.749225, 44619.422572
 172.731593, 44947.506562
 172.764630, 45275.590551
 172.715458, 45603.674541
 172.743370, 45931.758530
 172.767793, 46259.842520
 172.715928, 46587.926509
 172.735406, 46916.010499
 172.751505, 47244.094488
 172.764268, 47572.178478
 172.708429, 47900.262467
 172.716488, 48228.346457
 172.721317, 48556.430446
 172.722957, 48884.514436
 172.721446, 49212.598425
 172.716823, 49540.682415
 172.709127, 49868.766404
 172.751076, 50196.850394
 172.735599, 50524.934383
 172.717176, 50853.018373
 172.743321, 51181.102362
 172.717407, 51509.186352
 172.732747, 51837.270341
 172.741938, 52165.354331
 172.745055, 52493.438320
 172.742170, 52821.522310
 172.733358, 53149.606299
 172.718690, 53477.690289
 172.732432, 53805.774278
 172.737254, 54133.858268
 172.733266, 54461.942257
 172.720574, 54790.026247
 172.727140, 55118.110236
 199.348496, 54790.026247
 199.331821, 54461.942257
 199.331222, 54133.858268
 199.334754, 53805.774278
 199.360183, 53477.690289
 199.350689, 53149.606299
 199.353849, 52821.522310
 199.342538, 52493.438320
 199.367978, 52165.354331
 199.356023, 51837.270341
 199.356523, 51509.186352
 199.331266, 51181.102362
 199.333709, 50853.018373
 199.373384, 50524.934383
 199.354617, 50196.850394
 199.331125, 49868.766404
 199.363720, 49540.682415
 199.346425, 49212.598425
 199.338431, 48884.514436
 199.344563, 48556.430446
 199.369727, 48228.346457
 199.353602, 47900.262467
 199.362839, 47572.178478
 199.333501, 47244.094488
 199.336040, 46916.010499
 199.375685, 46587.926509
 199.382987, 46259.842520
 199.357541, 45931.758530
 199.377582, 45603.674541
 199.367980, 45275.590551
 199.328358, 44947.506562
 199.342936, 44619.422572
 199.330761, 44291.338583
 199.380136, 43963.254593
 199.406170, 43635.170604
 199.408563, 43307.086614
 199.387015, 42979.002625
 199.341221, 42650.918635
 199.369908, 42322.834646
 199.377987, 41994.750656
 199.365193, 41666.666667
 199.331260, 41338.582677
 199.383566, 41010.498688
 199.418583, 40682.414698
 199.436088, 40354.330709
 199.435853, 40026.246719
 199.417651, 39698.162730
 199.381251, 39370.078740
 199.447508, 39041.994751
 199.746488, 38713.910761
 200.920500, 38385.826772
 201.994172, 38057.742782
 203.091153, 37729.658793
 204.078915, 37401.574803
 205.085718, 37073.490814
 206.111768, 36745.406824
 207.157276, 36417.322835
 208.079935, 36089.238845
 209.016218, 35761.154856
 210.113011, 35433.070866
 210.928102, 35104.986877
 211.903861, 34776.902887
 212.892937, 34448.818898
 213.737941, 34120.734908
 214.591340, 33792.650919
 215.453178, 33464.566929
 216.323498, 33136.482940
 217.202343, 32808.398950
 218.089756, 32480.314961
 218.985781, 32152.230971
 219.714956, 31824.146982
 220.625709, 31496.062992
 221.364423, 31167.979003
 222.290028, 30839.895013
 223.038356, 30511.811024
 223.790182, 30183.727034
 224.928404, 29855.643045
 226.469231, 29527.559055
 228.035305, 29199.475066
 229.626783, 28871.391076
 231.041499, 28543.307087
 232.681505, 28215.223097
 234.139539, 27887.139108
 235.618044, 27559.055118
 237.117141, 27230.971129
 238.420747, 26902.887139
 239.958577, 26574.803150
 241.295507, 26246.719160
 242.872506, 25918.635171
 244.243144, 25590.551181
 245.629350, 25262.467192
 246.797928, 24934.383202
 248.212630, 24606.299213
 249.643140, 24278.215223
 251.089542, 23950.131234
 252.307003, 23622.047244
 253.534643, 23293.963255
 255.023322, 22965.879265
 256.274425, 22637.795276
 257.535858, 22309.711286
 258.807669, 21981.627297
 260.089903, 21653.543307
 261.382609, 21325.459318
 262.685833, 20997.375328
 263.999622, 20669.291339
 265.049096, 20341.207349
 266.381084, 20013.123360
 267.442680, 19685.039370
 268.793004, 19356.955381
 269.866805, 19028.871391
 270.945178, 18700.787402
 272.028130, 18372.703412
 273.115669, 18044.619423
 274.207803, 17716.535433
 275.304540, 17388.451444
 276.405887, 17060.367454
 277.511852, 16732.283465
 278.622443, 16404.199475
 279.737668, 16076.115486
 280.857534, 15748.031496
 281.982049, 15419.947507
 283.111222, 15091.863517
 284.245059, 14763.779528
 285.051295, 14435.695538
 286.191172, 14107.611549
 287.335723, 13779.527559
 288.142700, 13451.443570
 289.293268, 13123.359580
 290.448520, 12795.275591
 291.256104, 12467.191601
 292.417351, 12139.107612
 293.583292, 11811.023622
 294.391345, 11482.939633
 295.563258, 11154.855643
 296.370398, 10826.771654
 297.548258, 10498.687664
 298.730822, 10170.603675
 299.538187, 9842.519685
 300.343260, 9514.435696
 301.532940, 9186.351706
 302.336857, 8858.267717
 303.138393, 8530.183727
 304.335089, 8202.099738
 305.135333, 7874.015748
 305.933106, 7545.931759
 306.728372, 7217.847769
 307.933061, 6889.763780
 308.726843, 6561.679790
 309.937269, 6233.595801
 310.729482, 5905.511811
 311.519042, 5577.427822
 312.736179, 5249.343832
 313.524031, 4921.259843
 314.309139, 4593.175853
 315.091467, 4265.091864
 315.870980, 3937.007874
 316.647643, 3608.923885
 317.421418, 3280.839895
 318.192272, 2952.755906
 318.960167, 2624.671916
 319.725068, 2296.587927
 320.486938, 1968.503937
 321.245742, 1640.419948
 322.001443, 1312.335958
 322.754006,  984.251969
 323.503392,  656.167979
 324.249566,  328.083990
 324.992487,    0.000000
