alpha_h, CL
  -4.825317,   -0.410662
  -4.523414,   -0.384969
  -4.219461,   -0.359101
  -3.913428,   -0.333056
  -3.605167,   -0.306821
  -3.294586,   -0.280388
  -2.981835,   -0.253771
  -2.666886,   -0.226967
  -2.349713,   -0.199974
  -2.030203,   -0.172782
  -1.708180,   -0.145376
  -1.383850,   -0.117774
  -1.057190,   -0.089973
  -0.728175,   -0.061972
  -0.396736,   -0.033765
  -0.062606,   -0.005328
   0.273948,    0.023315
   0.612946,    0.052165
   0.954406,    0.081225
   1.298346,    0.110497
   1.645132,    0.140010
   1.994432,    0.169738
   2.346258,    0.199680
   2.700622,    0.229839
   3.057724,    0.260230
   3.443450,    0.293058
   3.979741,    0.338699
   4.515770,    0.384318
   5.051509,    0.429913
   5.586931,    0.475480
