eta, cCl
   0.000000,    0.569635
   0.020408,    0.567401
   0.040816,    0.567092
   0.061224,    0.566566
   0.081633,    0.565820
   0.102041,    0.564851
   0.122449,    0.563658
   0.142857,    0.562239
   0.163265,    0.560592
   0.183673,    0.558716
   0.204082,    0.556610
   0.224490,    0.554272
   0.244898,    0.551701
   0.265306,    0.548893
   0.285714,    0.545847
   0.306122,    0.542560
   0.326531,    0.539027
   0.346939,    0.535245
   0.367347,    0.531208
   0.387755,    0.526910
   0.408163,    0.522345
   0.428571,    0.517506
   0.448980,    0.512382
   0.469388,    0.506965
   0.489796,    0.501241
   0.510204,    0.495195
   0.530612,    0.488811
   0.551020,    0.482074
   0.571429,    0.474965
   0.591837,    0.467460
   0.612245,    0.459534
   0.632653,    0.451157
   0.653061,    0.442294
   0.673469,    0.432904
   0.693878,    0.422941
   0.714286,    0.412351
   0.734694,    0.401067
   0.755102,    0.389012
   0.775510,    0.376092
   0.795918,    0.362193
   0.816327,    0.347172
   0.836735,    0.330848
   0.857143,    0.312986
   0.877551,    0.293267
   0.897959,    0.271245
   0.918367,    0.246253
   0.938776,    0.217205
   0.959184,    0.182066
   0.979592,    0.135925
   1.000000,    0.000000
