eta, cCl
   0.000000,    2.848175
   0.020408,    2.837006
   0.040816,    2.835460
   0.061224,    2.832831
   0.081633,    2.829101
   0.102041,    2.824257
   0.122449,    2.818290
   0.142857,    2.811193
   0.163265,    2.802958
   0.183673,    2.793579
   0.204082,    2.783049
   0.224490,    2.771360
   0.244898,    2.758503
   0.265306,    2.744466
   0.285714,    2.729237
   0.306122,    2.712799
   0.326531,    2.695135
   0.346939,    2.676224
   0.367347,    2.656038
   0.387755,    2.634551
   0.408163,    2.611727
   0.428571,    2.587529
   0.448980,    2.561911
   0.469388,    2.534823
   0.489796,    2.506206
   0.510204,    2.475976
   0.530612,    2.444054
   0.551020,    2.410369
   0.571429,    2.374823
   0.591837,    2.337300
   0.612245,    2.297671
   0.632653,    2.255785
   0.653061,    2.211468
   0.673469,    2.164521
   0.693878,    2.114707
   0.714286,    2.061753
   0.734694,    2.005333
   0.755102,    1.945058
   0.775510,    1.880460
   0.795918,    1.810965
   0.816327,    1.735861
   0.836735,    1.654241
   0.857143,    1.564928
   0.877551,    1.466333
   0.897959,    1.356224
   0.918367,    1.231266
   0.938776,    1.086024
   0.959184,    0.910332
   0.979592,    0.679624
   1.000000,    0.000000
