Ground distance, Fuel used
   0.000000,    0.000000
   6.087701,    2.367663
  24.231001,    4.737361
  54.248970,    7.108404
  95.959182,    9.480323
 149.177878,   11.852804
 213.720117,   14.225599
 289.399935,   16.598655
 376.030524,   18.972076
 473.424389,   21.345889
 581.393488,   23.720237
 699.749443,   26.095462
 828.303762,   28.471645
 966.868134,   30.848892
1115.254802,   33.227444
1273.276817,   35.607167
1440.748392,   37.988144
1617.484919,   40.370497
1803.303043,   42.754065
1892.083060,   43.854819
2090.868905,   46.240640
2220.079878,   47.738579
2346.802302,   49.171314
2454.703744,   50.365959
2675.528204,   52.756449
2900.445616,   55.147423
2953.176401,   55.704279
3176.770087,   58.057644
3404.083343,   60.445811
3631.394627,   62.831778
3858.704235,   65.215412
4086.012619,   67.596670
4313.320484,   69.975533
4540.629240,   72.351996
4767.938186,   74.726052
4995.247348,   77.097696
5222.556800,   79.466923
5449.866603,   81.833730
5677.176808,   84.198111
5680.656626,   84.234288
5817.281455,   85.654209
6044.591313,   88.014662
6271.901335,   90.372687
6499.211719,   92.728285
6726.522471,   95.081461
6953.833673,   97.432220
7181.145351,   99.780565
7408.457537,  102.126501
7635.770210,  104.470031
7726.940060,  105.409292
7954.251833,  107.691158
8181.561860,  109.854264
8408.870884,  111.898968
8636.180088,  113.825620
8863.491049,  115.692664
9090.803922,  117.558359
9318.118054,  119.422731
9545.433063,  121.285791
9772.748710,  123.147542
10000.064836,  125.007986
10227.381224,  126.867127
10454.697769,  128.724965
10682.014856,  130.581502
10909.332307,  132.436741
11136.649887,  134.290682
11363.967797,  136.143328
11591.286182,  137.994681
11818.604827,  139.844742
12045.923634,  141.693514
12273.242850,  143.540997
12500.562550,  145.387194
12727.882564,  147.232107
12955.202763,  149.075736
13182.523399,  150.918085
13409.844383,  152.759154
13637.165592,  154.598946
13864.487124,  156.437463
14091.809159,  158.274705
14319.131507,  160.110675
14546.454068,  161.945375
14773.776923,  163.778807
15001.100305,  165.610987
15228.424036,  167.441920
15455.747955,  169.271609
15683.072375,  171.100055
15910.397200,  172.927259
16137.722248,  174.753223
16365.047578,  176.577950
16592.373419,  178.401440
16819.699578,  180.223696
17047.025895,  182.044718
17274.352579,  183.864510
17501.679744,  185.683071
17729.007180,  187.500405
17956.334800,  189.316512
18183.662962,  191.131395
18410.991587,  192.945055
18638.320449,  194.757494
18865.649516,  196.568712
19092.979162,  198.378713
19320.309176,  200.187498
19547.639133,  201.995067
19774.969440,  203.801424
20002.300117,  205.606570
20229.630921,  207.410505
20456.961798,  209.213233
20684.293009,  211.014755
20911.624495,  212.815072
21138.956097,  214.614187
21366.287858,  216.412100
21593.620021,  218.208814
21820.952425,  220.004330
22048.284978,  221.798650
22275.617419,  223.591244
22502.949805,  225.380949
22730.281683,  227.167732
22957.613778,  228.951602
23184.946263,  230.732568
23412.279013,  232.510638
23639.611937,  234.285823
23866.945099,  236.058129
24094.278695,  237.827568
24321.612586,  239.594147
24548.946654,  241.357875
24776.280954,  243.118762
25003.615746,  244.876816
25230.950892,  246.632046
25458.286243,  248.384460
25685.621818,  250.134068
25912.957854,  251.880877
26140.294237,  253.624898
26246.886462,  254.441667
