Ground Roll Distance, Horizontal Forces
1082.832036, -1905.470982
1106.800277, -1902.747773
1270.110435, -1884.428755
1302.510253, -1880.843131
1334.823214, -1877.283158
1367.049552, -1873.748662
1399.189498, -1870.239472
1400.473302, -1870.099628
1403.040497, -1869.820061
1404.067221, -1869.708280
1404.503194, -1869.660819
1405.375092, -1869.565912
1405.447329, -1869.558050
1405.509101, -1869.551326
1405.543006, -1869.547636
1405.560146, -1869.545770
1405.566797, -1869.545046
1405.570893, -1869.544601
1405.573567, -1869.544310
1405.574361, -11340.556731
1405.575173, -11340.569064
1405.583292, -11340.692393
1405.664479, -11341.925747
1406.476231, -11354.265588
1414.581379, -11478.295981
1494.351293, -12783.655570
1592.710502, -14635.937714
1683.605589, -16641.360967
1766.011091, -18766.649297
1840.093214, -20992.692484
1906.164398, -23298.110354
1964.609302, -25659.024816
1985.793746, -26606.174213
1999.124324, -27231.017525
2012.663321, -27890.424364
2025.131301, -28494.204427
2036.256996, -29050.906120
2056.652454, -30120.053932
2069.402173, -30823.539325
2075.083503, -31146.051673
2080.534093, -31457.916197
2116.221658, -33659.657511
2124.200113, -34196.139669
2134.140209, -34891.890894
2136.894178, -35082.322690
2139.706209, -35274.307522
2165.193827, -37141.392469
2187.781639, -39069.647176
2191.763119, -39452.417245
2195.989727, -39880.082546
2196.731233, -39957.795265
2197.066946, -39993.859498
2197.446910, -40038.701807
2201.037210, -40479.089461
2212.265813, -42225.180768
2214.081235, -42662.080488
2214.773309, -42878.980795
2215.230538, -43063.000824
2215.521706, -43226.708134
2215.693408, -43402.740986
2215.706242, -43432.809640
2215.713613, -43461.467609
2215.715475, -43475.859559
2215.716013, -43485.207675
2215.716082, -43489.924590
