eta, CL
   0.000000,    0.385689
   0.020408,    0.391829
   0.040816,    0.404022
   0.061224,    0.416500
   0.081633,    0.429248
   0.102041,    0.442273
   0.122449,    0.455592
   0.142857,    0.469234
   0.163265,    0.483233
   0.183673,    0.497635
   0.204082,    0.512492
   0.224490,    0.527872
   0.244898,    0.543856
   0.265306,    0.560551
   0.285714,    0.578100
   0.306122,    0.596712
   0.326531,    0.616319
   0.346939,    0.632390
   0.367347,    0.629957
   0.387755,    0.623915
   0.408163,    0.617282
   0.428571,    0.610048
   0.448980,    0.602218
   0.469388,    0.593799
   0.489796,    0.584803
   0.510204,    0.575235
   0.530612,    0.565105
   0.551020,    0.554428
   0.571429,    0.543211
   0.591837,    0.531462
   0.612245,    0.519183
   0.632653,    0.506377
   0.653061,    0.493045
   0.673469,    0.479184
   0.693878,    0.464787
   0.714286,    0.449845
   0.734694,    0.434340
   0.755102,    0.418248
   0.775510,    0.401534
   0.795918,    0.384146
   0.816327,    0.366008
   0.836735,    0.347008
   0.857143,    0.326975
   0.877551,    0.305644
   0.897959,    0.282585
   0.918367,    0.257076
   0.938776,    0.227825
   0.959184,    0.192320
   0.979592,    0.144735
   1.000000,    0.000000
