eta, Ccl basic
   0.000000,    1.432169
   0.020408,    1.421460
   0.040816,    1.419964
   0.061224,    1.417193
   0.081633,    1.413084
   0.102041,    1.407626
   0.122449,    1.400828
   0.142857,    1.392710
   0.163265,    1.383296
   0.183673,    1.372603
   0.204082,    1.360643
   0.224490,    1.347416
   0.244898,    1.332904
   0.265306,    1.317063
   0.285714,    1.299579
   0.306122,    1.280357
   0.326531,    1.259898
   0.346939,    1.237443
   0.367347,    1.213809
   0.387755,    1.189189
   0.408163,    1.163727
   0.428571,    1.137540
   0.448980,    1.110724
   0.469388,    1.083365
   0.489796,    1.055533
   0.510204,    1.027286
   0.530612,    0.998679
   0.551020,    0.969766
   0.571429,    0.940589
   0.591837,    0.911181
   0.612245,    0.881568
   0.632653,    0.851772
   0.653061,    0.821804
   0.673469,    0.791668
   0.693878,    0.761359
   0.714286,    0.730859
   0.734694,    0.700133
   0.755102,    0.669132
   0.775510,    0.637777
   0.795918,    0.605959
   0.816327,    0.573523
   0.836735,    0.540248
   0.857143,    0.505819
   0.877551,    0.469774
   0.897959,    0.431421
   0.918367,    0.389669
   0.938776,    0.342685
   0.959184,    0.287008
   0.979592,    0.214412
   1.000000,    0.000000
