Time, xT = int(m(Vc - V))
   0.000000, 17849376.332012
   0.500000, 18107012.217378
   1.000000, 18358388.414972
   1.500000, 18600948.755393
   2.000000, 18833878.767539
   2.500000, 19057029.011764
   3.000000, 19270502.354938
   3.500000, 19474495.744543
   4.000000, 19669239.541687
   4.500000, 19854974.255370
   5.000000, 20031941.617978
   5.500000, 20200381.162114
   6.000000, 20360528.909781
   6.500000, 20512616.874431
   7.000000, 20656872.877415
   7.500000, 20793520.487469
   8.000000, 20922779.009636
   8.500000, 21044863.495215
   9.000000, 21159984.761680
   9.500000, 21268349.418178
  10.000000, 21370159.894786
  10.500000, 21465614.474731
  11.000000, 21554907.329125
  11.500000, 21638228.553974
  12.000000, 21715764.209227
  12.500000, 21787696.359722
  13.000000, 21854203.117834
  13.500000, 21915458.687706
  14.000000, 21971633.410885
  14.500000, 22022893.813254
  15.000000, 22069402.653098
  15.500000, 22111717.349847
  16.000000, 22152144.673089
  16.500000, 22193321.181133
  17.000000, 22237456.479536
  17.500000, 22286221.606800
  18.000000, 22340770.609356
  18.500000, 22401817.795285
  19.000000, 22469727.348438
  19.500000, 22544596.661835
  20.000000, 22626327.654386
  20.500000, 22714685.789042
  21.000000, 22809348.097013
  21.500000, 22909941.537809
  22.000000, 23016072.709196
  22.500000, 23127349.744052
  23.000000, 23243397.261566
  23.500000, 23363865.381698
  24.000000, 23488433.946482
  24.500000, 23616813.143841
  25.000000, 23748741.676305
  25.500000, 23883983.474482
  26.000000, 24022323.758517
  26.500000, 24163565.037101
  27.000000, 24307523.432479
  27.500000, 24454025.549801
  28.000000, 24602905.977941
  28.500000, 24754005.416750
  29.000000, 24907169.367951
  29.500000, 25062247.296602
  30.000000, 25219092.159950
  30.500000, 25377560.204044
  31.000000, 25537510.940078
  31.500000, 25698807.228091
  32.000000, 25861315.412255
  32.500000, 26024905.467721
  33.000000, 26189451.132683
  33.500000, 26354830.010441
  34.000000, 26520923.634719
  34.500000, 26687617.497506
  35.000000, 26854801.042557
  35.500000, 27022367.629872
  36.000000, 27190214.477331
  36.500000, 27358242.585657
  37.000000, 27526356.652268
  37.500000, 27694464.978691
  38.000000, 27862479.375200
  38.500000, 28030315.065367
  39.000000, 28197890.592310
  39.500000, 28365127.727753
  40.000000, 28531951.384410
  40.500000, 28698289.531821
  41.000000, 28864073.115512
  41.500000, 29029235.979175
  42.000000, 29193714.789521
  42.500000, 29357448.963426
  43.000000, 29520380.597030
  43.500000, 29682454.396508
  44.000000, 29843617.610266
  44.500000, 30003819.962397
  45.000000, 30163013.587279
  45.500000, 30321152.965232
  46.000000, 30478194.859199
  46.500000, 30634098.252423
  47.000000, 30788824.287133
  47.500000, 30942336.204239
  48.000000, 31094599.284053
  48.500000, 31245580.788050
  49.000000, 31395249.901676
  49.500000, 31543577.678222
  50.000000, 31690536.983766
  50.500000, 31836102.443174
  51.000000, 31980250.387171
  51.500000, 32122958.800478
  52.000000, 32264207.270985
  52.500000, 32403976.939987
  53.000000, 32542250.453435
  53.500000, 32679011.914214
  54.000000, 32814246.835430
  54.500000, 32947942.094689
  55.000000, 33080085.889356
  55.500000, 33210667.692793
  56.000000, 33339678.211544
  56.500000, 33467109.343466
  57.000000, 33592954.136800
  57.500000, 33717206.750152
  58.000000, 33839862.413389
  58.500000, 33960917.389422
  59.000000, 34080368.936882
