CL, CM
   0.700270,    0.436463
   0.791431,    0.457361
   0.882529,    0.478796
   0.973570,    0.500760
   1.064556,    0.523245
   1.155489,    0.546696
   1.246371,    0.570178
   1.337204,    0.594172
   1.427989,    0.618668
   1.518728,    0.643656
   1.609423,    0.669127
   1.700310,    0.694236
   1.791501,    0.718577
   1.882753,    0.743005
   1.973822,    0.767454
   2.059871,    0.790676
   2.133770,    0.809460
   2.191210,    0.820311
   2.230656,    0.820442
   2.253318,    0.807890
   2.262909,    0.782473
   2.264761,    0.748951
   2.262892,    0.727604
   2.272392,    0.710178
   2.308615,    0.698347
   2.389135,    0.696773
   2.534229,    0.711423
   2.766870,    0.749612
   3.112733,    0.820029
   3.600193,    0.932770
