CL, CM
   0.807878,    0.050666
   0.899039,    0.070719
   0.990137,    0.091387
   1.081178,    0.112665
   1.172164,    0.134542
   1.263098,    0.157464
   1.353980,    0.180497
   1.444812,    0.204121
   1.535597,    0.228328
   1.626336,    0.253106
   1.717031,    0.278447
   1.807918,    0.303505
   1.899110,    0.327875
   1.990361,    0.352412
   2.081430,    0.377050
   2.167480,    0.400540
   2.241378,    0.419673
   2.298819,    0.430952
   2.338264,    0.431590
   2.360926,    0.419625
   2.370518,    0.394873
   2.372369,    0.362097
   2.370500,    0.341574
   2.380001,    0.325050
   2.416223,    0.314202
   2.496744,    0.313687
   2.641837,    0.329476
   2.874478,    0.368880
   3.220342,    0.440591
   3.707801,    0.554704
