CL, CM
   0.693328,    0.466702
   0.784489,    0.487617
   0.875587,    0.509064
   0.966629,    0.531035
   1.057615,    0.553522
   1.148548,    0.576969
   1.239430,    0.600442
   1.330262,    0.624422
   1.421047,    0.648899
   1.511786,    0.673862
   1.602482,    0.699304
   1.693369,    0.724378
   1.784560,    0.748679
   1.875812,    0.773062
   1.966881,    0.797461
   2.052930,    0.820628
   2.126828,    0.839352
   2.184269,    0.850137
   2.223714,    0.850198
   2.246377,    0.837570
   2.255968,    0.812072
   2.257820,    0.778465
   2.255950,    0.757027
   2.265451,    0.739505
   2.301674,    0.727574
   2.382194,    0.725894
   2.527287,    0.740434
   2.759929,    0.778506
   3.105792,    0.848803
   3.593252,    0.961419
