CL, CM
   0.748559,    0.262291
   0.839720,    0.282817
   0.930818,    0.303917
   1.021860,    0.325581
   1.112846,    0.347802
   1.203779,    0.371024
   1.294661,    0.394312
   1.385493,    0.418148
   1.476278,    0.442523
   1.567017,    0.467425
   1.657713,    0.492846
   1.748600,    0.517940
   1.839791,    0.542303
   1.931043,    0.566788
   2.022112,    0.591330
   2.108161,    0.614680
   2.182059,    0.633629
   2.239500,    0.644680
   2.278945,    0.645047
   2.301608,    0.632766
   2.311199,    0.607656
   2.313051,    0.574477
   2.311181,    0.553508
   2.320682,    0.536495
   2.356905,    0.525113
   2.437425,    0.524023
   2.582518,    0.539192
   2.815160,    0.577934
   3.161023,    0.648940
   3.648483,    0.762305
