CL, CM
   0.930390,   -0.381139
   1.021551,   -0.362101
   1.112649,   -0.342357
   1.203690,   -0.321915
   1.294676,   -0.300783
   1.385609,   -0.278516
   1.476491,   -0.256047
   1.567324,   -0.232897
   1.658108,   -0.209073
   1.748848,   -0.184588
   1.839543,   -0.159449
   1.930430,   -0.134502
   2.021621,   -0.110152
   2.112873,   -0.085544
   2.203942,   -0.060744
   2.289991,   -0.037002
   2.363890,   -0.017527
   2.421330,   -0.005814
   2.460776,   -0.004651
   2.483438,   -0.016002
   2.493029,   -0.040048
   2.494881,   -0.072029
   2.493012,   -0.091667
   2.502512,   -0.107215
   2.538735,   -0.116999
   2.619255,   -0.116359
   2.764349,   -0.099327
   2.996990,   -0.058590
   3.342853,    0.014541
   3.830313,    0.130164
