CL, CM
   0.683011,    0.509208
   0.774172,    0.530156
   0.865270,    0.551629
   0.956311,    0.573618
   1.047297,    0.596115
   1.138231,    0.619565
   1.229113,    0.643033
   1.319945,    0.667000
   1.410730,    0.691457
   1.501469,    0.716392
   1.592164,    0.741799
   1.683051,    0.766829
   1.774243,    0.791079
   1.865494,    0.815404
   1.956563,    0.839736
   2.042613,    0.862829
   2.116511,    0.881471
   2.173952,    0.892168
   2.213397,    0.892131
   2.236059,    0.879399
   2.245651,    0.853790
   2.247502,    0.820063
   2.245633,    0.798498
   2.255134,    0.780842
   2.291356,    0.768770
   2.371877,    0.766940
   2.516970,    0.781324
   2.749611,    0.819233
   3.095475,    0.889359
   3.582934,    1.001797
