CL, CM
   0.645786,    0.646325
   0.736947,    0.667518
   0.828045,    0.689208
   0.919087,    0.711387
   1.010073,    0.734046
   1.101006,    0.757631
   1.191888,    0.781206
   1.282720,    0.805253
   1.373505,    0.829762
   1.464244,    0.854721
   1.554939,    0.880124
   1.645827,    0.905124
   1.737018,    0.929316
   1.828270,    0.953554
   1.919339,    0.977774
   2.005388,    1.000725
   2.079286,    1.019198
   2.136727,    1.029699
   2.176172,    1.029439
   2.198835,    1.016456
   2.208426,    0.990568
   2.210278,    0.956536
   2.208408,    0.934638
   2.217909,    0.916622
   2.254132,    0.904162
   2.334652,    0.901919
   2.479745,    0.915861
   2.712387,    0.953302
   3.058250,    1.022933
   3.545710,    1.134850
