CL, CM
   0.869134,   -0.165305
   0.960295,   -0.145754
   1.051393,   -0.125542
   1.142434,   -0.104676
   1.233420,   -0.083166
   1.324353,   -0.060565
   1.415235,   -0.037808
   1.506068,   -0.014415
   1.596853,    0.009606
   1.687592,    0.034243
   1.778287,    0.059489
   1.869174,    0.084497
   1.960366,    0.108864
   2.051617,    0.133442
   2.142686,    0.158166
   2.228735,    0.181789
   2.302634,    0.201098
   2.360074,    0.212600
   2.399520,    0.213506
   2.422182,    0.201854
   2.431773,    0.177461
   2.433625,    0.145088
   2.431756,    0.125013
   2.441256,    0.108984
   2.477479,    0.098673
   2.558000,    0.098741
   2.703093,    0.115158
   2.935734,    0.155234
   3.281598,    0.227661
   3.769057,    0.342534
