alpha, CL
  -3.862750,   -0.858558
  -3.307608,   -0.821311
  -2.755662,   -0.784280
  -2.206604,   -0.747442
  -1.660339,   -0.710791
  -1.116773,   -0.674322
  -0.575814,   -0.638027
  -0.037367,   -0.601901
   0.498662,   -0.565937
   1.032365,   -0.530130
   1.563835,   -0.494472
   2.105066,   -0.458159
   2.661761,   -0.420809
   3.221506,   -0.383254
   3.784394,   -0.345488
   4.353502,   -0.307305
   4.950702,   -0.267237
   5.608450,   -0.223107
   6.356867,   -0.172893
   7.222768,   -0.114797
   8.216878,   -0.048100
   9.289229,    0.023848
  10.180020,    0.083615
  11.046417,    0.141925
  11.913449,    0.200794
  12.781057,    0.260217
  13.649180,    0.319798
  14.517759,    0.378748
  15.386730,    0.435882
  16.256032,    0.489618
