alpha, CL
  -3.862750,   -0.834892
  -3.307608,   -0.797646
  -2.755662,   -0.760614
  -2.206604,   -0.723776
  -1.660339,   -0.687126
  -1.116773,   -0.650656
  -0.575814,   -0.614362
  -0.037367,   -0.578236
   0.498662,   -0.542272
   1.032365,   -0.506464
   1.563835,   -0.470806
   2.105066,   -0.434494
   2.661761,   -0.397143
   3.221506,   -0.359588
   3.784394,   -0.321822
   4.353502,   -0.283639
   4.950702,   -0.243571
   5.608450,   -0.199441
   6.356867,   -0.149228
   7.222768,   -0.091132
   8.216878,   -0.024434
   9.289229,    0.047513
  10.180020,    0.107281
  11.046417,    0.165591
  11.913449,    0.224459
  12.781057,    0.283882
  13.649180,    0.343464
  14.517759,    0.402414
  15.386730,    0.459548
  16.256032,    0.513284
