alpha, CL
  -3.862750,   -0.468010
  -3.307608,   -0.430764
  -2.755662,   -0.393732
  -2.206604,   -0.356895
  -1.660339,   -0.320244
  -1.116773,   -0.283775
  -0.575814,   -0.247480
  -0.037367,   -0.211354
   0.498662,   -0.175390
   1.032365,   -0.139583
   1.563835,   -0.103925
   2.105066,   -0.067612
   2.661761,   -0.030262
   3.221506,    0.007293
   3.784394,    0.045059
   4.353502,    0.083242
   4.950702,    0.123310
   5.608450,    0.167441
   6.356867,    0.217654
   7.222768,    0.275750
   8.216878,    0.342448
   9.289229,    0.414395
  10.180020,    0.474162
  11.046417,    0.532473
  11.913449,    0.591341
  12.781057,    0.650764
  13.649180,    0.710345
  14.517759,    0.769296
  15.386730,    0.826430
  16.256032,    0.880165
