alpha, CL
  -3.862750,   -0.050316
  -3.307608,   -0.013070
  -2.755662,    0.023961
  -2.206604,    0.060799
  -1.660339,    0.097450
  -1.116773,    0.133919
  -0.575814,    0.170214
  -0.037367,    0.206340
   0.498662,    0.242304
   1.032365,    0.278111
   1.563835,    0.313769
   2.105066,    0.350082
   2.661761,    0.387432
   3.221506,    0.424987
   3.784394,    0.462753
   4.353502,    0.500936
   4.950702,    0.541004
   5.608450,    0.585134
   6.356867,    0.635348
   7.222768,    0.693444
   8.216878,    0.760142
   9.289229,    0.832089
  10.180020,    0.891856
  11.046417,    0.950167
  11.913449,    1.009035
  12.781057,    1.068458
  13.649180,    1.128039
  14.517759,    1.186990
  15.386730,    1.244123
  16.256032,    1.297859
