eta, cCl
   0.000000,    0.496605
   0.020408,    0.494655
   0.040816,    0.494378
   0.061224,    0.493907
   0.081633,    0.493237
   0.102041,    0.492367
   0.122449,    0.491298
   0.142857,    0.490028
   0.163265,    0.488557
   0.183673,    0.486888
   0.204082,    0.485018
   0.224490,    0.482949
   0.244898,    0.480680
   0.265306,    0.478211
   0.285714,    0.475541
   0.306122,    0.472669
   0.326531,    0.469593
   0.346939,    0.466309
   0.367347,    0.462815
   0.387755,    0.459108
   0.408163,    0.455181
   0.428571,    0.451029
   0.448980,    0.446645
   0.469388,    0.442022
   0.489796,    0.437149
   0.510204,    0.432012
   0.530612,    0.426599
   0.551020,    0.420896
   0.571429,    0.414888
   0.591837,    0.408553
   0.612245,    0.401870
   0.632653,    0.394811
   0.653061,    0.387345
   0.673469,    0.379437
   0.693878,    0.371043
   0.714286,    0.362114
   0.734694,    0.352590
   0.755102,    0.342399
   0.775510,    0.331455
   0.795918,    0.319652
   0.816327,    0.306858
   0.836735,    0.292903
   0.857143,    0.277568
   0.877551,    0.260560
   0.897959,    0.241464
   0.918367,    0.219666
   0.938776,    0.194168
   0.959184,    0.163115
   0.979592,    0.122044
   1.000000,    0.000000
