eta, cCl
   0.000000,    2.483025
   0.020408,    2.473277
   0.040816,    2.471892
   0.061224,    2.469533
   0.081633,    2.466183
   0.102041,    2.461836
   0.122449,    2.456488
   0.142857,    2.450138
   0.163265,    2.442787
   0.183673,    2.434438
   0.204082,    2.425090
   0.224490,    2.414745
   0.244898,    2.403401
   0.265306,    2.391057
   0.285714,    2.377707
   0.306122,    2.363346
   0.326531,    2.347963
   0.346939,    2.331545
   0.367347,    2.314077
   0.387755,    2.295538
   0.408163,    2.275904
   0.428571,    2.255145
   0.448980,    2.233227
   0.469388,    2.210108
   0.489796,    2.185743
   0.510204,    2.160060
   0.530612,    2.132993
   0.551020,    2.104482
   0.571429,    2.074440
   0.591837,    2.042767
   0.612245,    2.009351
   0.632653,    1.974055
   0.653061,    1.936727
   0.673469,    1.897185
   0.693878,    1.855216
   0.714286,    1.810570
   0.734694,    1.762949
   0.755102,    1.711995
   0.775510,    1.657277
   0.795918,    1.598262
   0.816327,    1.534288
   0.836735,    1.464513
   0.857143,    1.387842
   0.877551,    1.302801
   0.897959,    1.207322
   0.918367,    1.098331
   0.938776,    0.970841
   0.959184,    0.815574
   0.979592,    0.610222
   1.000000,    0.000000
