eta, D
   0.000000,  185.278481
   0.020408,  184.042537
   0.040816,  182.836371
   0.061224,  181.605515
   0.081633,  180.357543
   0.102041,  179.095229
   0.122449,  177.819935
   0.142857,  176.532459
   0.163265,  175.233324
   0.183673,  173.922904
   0.204082,  172.601480
   0.224490,  171.269262
   0.244898,  169.926411
   0.265306,  168.573041
   0.285714,  167.209225
   0.306122,  165.834996
   0.326531,  164.450349
   0.346939,  163.055239
   0.367347,  161.649584
   0.387755,  160.233263
   0.408163,  158.806115
   0.428571,  157.367950
   0.448980,  155.918566
   0.469388,  154.457839
   0.489796,  152.986599
   0.510204,  151.500255
   0.530612,  149.997833
   0.551020,  148.482910
   0.571429,  146.953599
   0.591837,  145.408827
   0.612245,  143.847500
   0.632653,  142.268393
   0.653061,  140.670109
   0.673469,  139.051038
   0.693878,  137.409309
   0.714286,  135.742746
   0.734694,  134.048803
   0.755102,  132.324493
   0.775510,  130.566294
   0.795918,  128.770053
   0.816327,  126.937506
   0.836735,  125.064850
   0.857143,  123.139021
   0.877551,  121.153649
   0.897959,  119.104217
   0.918367,  116.995630
   0.938776,  114.874211
   0.959184,  113.014959
   0.979592,  114.629834
   1.000000,  100.996203
