eta, D
   0.000000,  747.509717
   0.020408,  746.371417
   0.040816,  745.954758
   0.061224,  744.924543
   0.081633,  743.469823
   0.102041,  741.659803
   0.122449,  739.528484
   0.142857,  737.095754
   0.163265,  734.374698
   0.183673,  731.374645
   0.204082,  728.102558
   0.224490,  724.563734
   0.244898,  720.762159
   0.265306,  716.700691
   0.285714,  712.381162
   0.306122,  707.804425
   0.326531,  702.970371
   0.346939,  697.877935
   0.367347,  692.525091
   0.387755,  686.908855
   0.408163,  681.025323
   0.428571,  674.869807
   0.448980,  668.437354
   0.469388,  661.724962
   0.489796,  654.753478
   0.510204,  647.408525
   0.530612,  639.666007
   0.551020,  631.615270
   0.571429,  623.209490
   0.591837,  614.422151
   0.612245,  605.226210
   0.632653,  595.591490
   0.653061,  585.483522
   0.673469,  574.862555
   0.693878,  563.682496
   0.714286,  551.889670
   0.734694,  539.421314
   0.755102,  526.203769
   0.775510,  512.150304
   0.795918,  497.158622
   0.816327,  481.141402
   0.836735,  463.967655
   0.857143,  445.445188
   0.877551,  425.410380
   0.897959,  403.743839
   0.918367,  380.672405
   0.938776,  357.268429
   0.959184,  340.409970
   0.979592,  409.851362
   1.000000,  100.996203
