CLe, Neutral Point
   0.148973,    0.344603
   0.230405,    0.339670
   0.312082,    0.329741
   0.394001,    0.322159
   0.476162,    0.309548
   0.558563,    0.296753
   0.641203,    0.291220
   0.724083,    0.285576
   0.807203,    0.248372
   0.891773,    0.268529
   0.974375,    0.319708
   1.057216,    0.312900
   1.140298,    0.305657
   1.223621,    0.298091
   1.307187,    0.290547
   1.390996,    0.282494
   1.475049,    0.273505
   1.559349,    0.263950
   1.643897,    0.253930
   1.728694,    0.243350
   1.813742,    0.232026
   1.899043,    0.220073
   1.984600,    0.210169
   2.070407,    0.207419
   2.155246,    0.213967
   2.235729,    0.228939
   2.308794,    0.252708
   2.372041,    0.285330
