alpha body, d_epsilon/d_alpha
  -4.000000,    0.403495
  -3.517241,    0.403495
  -3.034483,    0.403495
  -2.551724,    0.403495
  -2.068966,    0.403495
  -1.586207,    0.403495
  -1.103448,    0.403495
  -0.620690,    0.403495
  -0.137931,    0.403495
   0.344828,    0.403495
   0.827586,    0.403495
   1.310345,    0.403495
   1.793103,    0.403495
   2.275862,    0.403495
   2.758621,    0.403495
   3.241379,    0.403495
   3.724138,    0.403495
   4.206897,    0.403495
   4.689655,    0.403495
   5.172414,    0.403495
   5.655172,    0.403495
   6.137931,    0.403495
   6.620690,    0.403495
   7.103448,    0.403495
   7.586207,    0.403495
   8.068966,    0.403495
   8.551724,    0.403495
   9.034483,    0.403495
   9.517241,    0.403495
  10.000000,    0.403495
