alpha body, d_epsilon/d_alpha
  -4.000000,    0.392292
  -3.517241,    0.390289
  -3.034483,    0.386251
  -2.551724,    0.382041
  -2.068966,    0.377571
  -1.586207,    0.373134
  -1.103448,    0.368818
  -0.620690,    0.364438
  -0.137931,    0.359922
   0.344828,    0.355091
   0.827586,    0.350262
   1.310345,    0.345614
   1.793103,    0.340904
   2.275862,    0.336103
   2.758621,    0.330930
   3.241379,    0.325724
   3.724138,    0.320768
   4.206897,    0.315758
   4.689655,    0.310694
   5.172414,    0.305231
   5.655172,    0.299698
   6.137931,    0.294462
   6.620690,    0.289197
   7.103448,    0.283674
   7.586207,    0.249509
   8.068966,    0.052785
   8.551724,   -0.112554
   9.034483,   -0.112322
   9.517241,   -0.112020
  10.000000,   -0.111852
