alpha body, Efficiency
  -4.000000,   -1.425759
  -3.517241,    0.519302
  -3.034483,    2.467024
  -2.551724,    4.324708
  -2.068966,    6.011791
  -1.586207,    7.470453
  -1.103448,    8.671298
  -0.620690,    9.609470
  -0.137931,   10.300030
   0.344828,   10.880667
   0.827586,   11.131382
   1.310345,   11.235793
   1.793103,   11.225591
   2.275862,   11.128024
   2.758621,   10.965562
   3.241379,   10.757159
   3.724138,   10.517470
   4.206897,   10.257047
   4.689655,    9.984873
   5.172414,    9.707188
   5.655172,    9.428399
   6.137931,    9.152030
   6.620690,    8.880771
   7.103448,    8.616488
   7.586207,    8.360089
   8.068966,    8.111309
   8.551724,    7.865433
   9.034483,    7.628703
   9.517241,    7.401370
  10.000000,    7.182696
