alpha body, Efficiency
  -4.000000,   -1.325255
  -3.517241,    0.486997
  -3.034483,    2.300867
  -2.551724,    4.030427
  -2.068966,    5.601082
  -1.586207,    6.959329
  -1.103448,    8.078022
  -0.620690,    8.952712
  -0.137931,    9.597187
   0.344828,   10.139789
   0.827586,   10.373907
   1.310345,   10.470811
   1.793103,   10.461281
   2.275862,   10.370782
   2.758621,   10.220061
   3.241379,   10.026464
   3.724138,    9.802335
   4.206897,    9.559334
   4.689655,    9.305420
   5.172414,    9.046555
   5.655172,    8.787070
   6.137931,    8.529474
   6.620690,    8.276255
   7.103448,    8.029741
   7.586207,    7.790713
   8.068966,    7.558781
   8.551724,    7.327497
   9.034483,    7.104948
   9.517241,    6.887447
  10.000000,    6.662809
