eta, Cl
   0.000000,    0.503970
   0.020408,    0.506166
   0.040816,    0.510588
   0.061224,    0.515161
   0.081633,    0.519776
   0.102041,    0.524371
   0.122449,    0.528905
   0.142857,    0.533349
   0.163265,    0.537679
   0.183673,    0.541877
   0.204082,    0.545929
   0.224490,    0.549822
   0.244898,    0.553542
   0.265306,    0.557078
   0.285714,    0.560418
   0.306122,    0.563548
   0.326531,    0.566456
   0.346939,    0.569128
   0.367347,    0.571547
   0.387755,    0.573698
   0.408163,    0.575561
   0.428571,    0.577115
   0.448980,    0.578338
   0.469388,    0.579204
   0.489796,    0.579684
   0.510204,    0.579741
   0.530612,    0.579340
   0.551020,    0.578442
   0.571429,    0.577003
   0.591837,    0.574970
   0.612245,    0.572286
   0.632653,    0.568883
   0.653061,    0.564686
   0.673469,    0.559609
   0.693878,    0.553553
   0.714286,    0.546405
   0.734694,    0.538033
   0.755102,    0.528285
   0.775510,    0.516980
   0.795918,    0.503903
   0.816327,    0.488794
   0.836735,    0.471331
   0.857143,    0.451103
   0.877551,    0.427569
   0.897959,    0.399976
   0.918367,    0.367218
   0.938776,    0.327513
   0.959184,    0.277563
   0.979592,    0.209498
   1.000000,    0.000000
