alpha body, Neutral Point
  -4.000000,    0.361287
  -3.517241,    0.362125
  -3.034483,    0.363795
  -2.551724,    0.365533
  -2.068966,    0.367420
  -1.586207,    0.369259
  -1.103448,    0.370993
  -0.620690,    0.372767
  -0.137931,    0.190690
   0.344828,    0.244224
   0.827586,    0.481709
   1.310345,    0.483690
   1.793103,    0.485735
   2.275862,    0.487861
   2.758621,    0.490274
   3.241379,    0.492860
   3.724138,    0.495625
   4.206897,    0.498355
   4.689655,    0.500855
   5.172414,    0.503691
   5.655172,    0.506631
   6.137931,    0.509428
   6.620690,    0.512309
   7.103448,    0.515441
   7.586207,    0.538731
   8.068966,    0.676051
   8.551724,    0.791506
   9.034483,    0.791045
   9.517241,    0.793458
  10.000000,    0.796086
